,u,v,edge_type,count
411,Worry_3,MistrustB_5,v->u,3
412,Worry_3,MistrustB_5,undirected,0
413,Worry_3,MistrustB_5,none,148
414,Worry_3,MistrustB_5,unknown,0
415,Worry_3,MistrustB_6,u->v,2
416,Worry_3,MistrustB_6,v->u,2
417,Worry_3,MistrustB_6,undirected,0
418,Worry_3,MistrustB_6,none,150
419,Worry_3,MistrustB_6,unknown,0
420,Worry_3,MistrustB_7,u->v,1
421,Worry_3,MistrustB_7,v->u,0
422,Worry_3,MistrustB_7,undirected,0
423,Worry_3,MistrustB_7,none,153
424,Worry_3,MistrustB_7,unknown,0
425,Worry_3,MistrustB_8,u->v,3
426,Worry_3,MistrustB_8,v->u,3
427,Worry_3,MistrustB_8,undirected,0
428,Worry_3,MistrustB_8,none,148
429,Worry_3,MistrustB_8,unknown,0
430,Worry_3,MistrustB_9,u->v,3
431,Worry_3,MistrustB_9,v->u,5
432,Worry_3,MistrustB_9,undirected,0
433,Worry_3,MistrustB_9,none,146
434,Worry_3,MistrustB_9,unknown,0
435,Worry_3,MistrustB_10,u->v,3
436,Worry_3,MistrustB_10,v->u,0
437,Worry_3,MistrustB_10,undirected,0
438,Worry_3,MistrustB_10,none,151
439,Worry_3,MistrustB_10,unknown,0
440,Worry_3,Sleep_1,u->v,0
441,Worry_3,Sleep_1,v->u,1
442,Worry_3,Sleep_1,undirected,0
443,Worry_3,Sleep_1,none,153
444,Worry_3,Sleep_1,unknown,0
445,Worry_3,Sleep_2,u->v,0
446,Worry_3,Sleep_2,v->u,2
447,Worry_3,Sleep_2,undirected,0
448,Worry_3,Sleep_2,none,152
449,Worry_3,Sleep_2,unknown,0
450,Worry_3,Sleep_3,u->v,1
451,Worry_3,Sleep_3,v->u,1
452,Worry_3,Sleep_3,undirected,0
453,Worry_3,Sleep_3,none,152
454,Worry_3,Sleep_3,unknown,0
455,Worry_3,Sleep_4,u->v,1
456,Worry_3,Sleep_4,v->u,0
457,Worry_3,Sleep_4,undirected,0
458,Worry_3,Sleep_4,none,153
459,Worry_3,Sleep_4,unknown,0
460,Worry_3,Sleep_5,u->v,1
461,Worry_3,Sleep_5,v->u,1
462,Worry_3,Sleep_5,undirected,0
463,Worry_3,Sleep_5,none,152
464,Worry_3,Sleep_5,unknown,0
465,Worry_3,Sleep_6,u->v,1
466,Worry_3,Sleep_6,v->u,2
467,Worry_3,Sleep_6,undirected,0
468,Worry_3,Sleep_6,none,151
469,Worry_3,Sleep_6,unknown,0
470,Worry_3,Sleep_7,u->v,1
471,Worry_3,Sleep_7,v->u,1
472,Worry_3,Sleep_7,undirected,0
473,Worry_3,Sleep_7,none,152
474,Worry_3,Sleep_7,unknown,0
475,Worry_3,L1,u->v,0
476,Worry_3,L1,v->u,16
477,Worry_3,L1,undirected,1
478,Worry_3,L1,none,137
479,Worry_3,L1,unknown,0
480,Worry_3,L2,u->v,0
481,Worry_3,L2,v->u,16
482,Worry_3,L2,undirected,0
483,Worry_3,L2,none,138
484,Worry_3,L2,unknown,0
485,Worry_3,L3,u->v,0
486,Worry_3,L3,v->u,58
487,Worry_3,L3,undirected,0
488,Worry_3,L3,none,96
489,Worry_3,L3,unknown,0
490,Worry_3,L4,u->v,0
491,Worry_3,L4,v->u,20
492,Worry_3,L4,undirected,1
493,Worry_3,L4,none,133
494,Worry_3,L4,unknown,0
495,Worry_3,L5,u->v,0
496,Worry_3,L5,v->u,18
497,Worry_3,L5,undirected,0
498,Worry_3,L5,none,136
499,Worry_3,L5,unknown,0
500,Worry_3,L6,u->v,0
501,Worry_3,L6,v->u,14
502,Worry_3,L6,undirected,0
503,Worry_3,L6,none,140
504,Worry_3,L6,unknown,0
505,Worry_3,L7,u->v,0
506,Worry_3,L7,v->u,16
507,Worry_3,L7,undirected,0
508,Worry_3,L7,none,138
509,Worry_3,L7,unknown,0
510,Worry_3,L8,u->v,0
511,Worry_3,L8,v->u,13
512,Worry_3,L8,undirected,0
513,Worry_3,L8,none,141
514,Worry_3,L8,unknown,0
515,Worry_3,L9,u->v,0
516,Worry_3,L9,v->u,8
517,Worry_3,L9,undirected,0
518,Worry_3,L9,none,146
519,Worry_3,L9,unknown,0
520,Worry_3,L10,u->v,0
521,Worry_3,L10,v->u,6
522,Worry_3,L10,undirected,0
523,Worry_3,L10,none,148
524,Worry_3,L10,unknown,0
525,Worry_4,Worry_5,u->v,6
526,Worry_4,Worry_5,v->u,4
527,Worry_4,Worry_5,undirected,1
528,Worry_4,Worry_5,none,143
529,Worry_4,Worry_5,unknown,0
530,Worry_4,Worry_6,u->v,0
531,Worry_4,Worry_6,v->u,16
532,Worry_4,Worry_6,undirected,1
533,Worry_4,Worry_6,none,137
534,Worry_4,Worry_6,unknown,0
535,Worry_4,Worry_7,u->v,2
536,Worry_4,Worry_7,v->u,15
537,Worry_4,Worry_7,undirected,0
538,Worry_4,Worry_7,none,137
539,Worry_4,Worry_7,unknown,0
540,Worry_4,Worry_8,u->v,0
541,Worry_4,Worry_8,v->u,7
542,Worry_4,Worry_8,undirected,0
543,Worry_4,Worry_8,none,147
544,Worry_4,Worry_8,unknown,0
545,Worry_4,Worry_9,u->v,0
546,Worry_4,Worry_9,v->u,10
547,Worry_4,Worry_9,undirected,0
548,Worry_4,Worry_9,none,144
549,Worry_4,Worry_9,unknown,0
550,Worry_4,Worry_10,u->v,3
551,Worry_4,Worry_10,v->u,9
552,Worry_4,Worry_10,undirected,0
553,Worry_4,Worry_10,none,142
554,Worry_4,Worry_10,unknown,0
555,Worry_4,MistrustB_1,u->v,1
556,Worry_4,MistrustB_1,v->u,0
557,Worry_4,MistrustB_1,undirected,1
558,Worry_4,MistrustB_1,none,152
559,Worry_4,MistrustB_1,unknown,0
560,Worry_4,MistrustB_2,u->v,1
561,Worry_4,MistrustB_2,v->u,2
562,Worry_4,MistrustB_2,undirected,0
563,Worry_4,MistrustB_2,none,151
564,Worry_4,MistrustB_2,unknown,0
565,Worry_4,MistrustB_3,u->v,0
566,Worry_4,MistrustB_3,v->u,1
567,Worry_4,MistrustB_3,undirected,0
568,Worry_4,MistrustB_3,none,153
569,Worry_4,MistrustB_3,unknown,0
570,Worry_4,MistrustB_4,u->v,1
571,Worry_4,MistrustB_4,v->u,4
572,Worry_4,MistrustB_4,undirected,0
573,Worry_4,MistrustB_4,none,149
574,Worry_4,MistrustB_4,unknown,0
575,Worry_4,MistrustB_5,u->v,1
576,Worry_4,MistrustB_5,v->u,3
577,Worry_4,MistrustB_5,undirected,0
578,Worry_4,MistrustB_5,none,150
579,Worry_4,MistrustB_5,unknown,0
580,Worry_4,MistrustB_6,u->v,1
581,Worry_4,MistrustB_6,v->u,2
582,Worry_4,MistrustB_6,undirected,0
583,Worry_4,MistrustB_6,none,151
584,Worry_4,MistrustB_6,unknown,0
585,Worry_4,MistrustB_7,u->v,1
586,Worry_4,MistrustB_7,v->u,0
587,Worry_4,MistrustB_7,undirected,0
588,Worry_4,MistrustB_7,none,153
589,Worry_4,MistrustB_7,unknown,0
590,Worry_4,MistrustB_8,u->v,1
591,Worry_4,MistrustB_8,v->u,3
592,Worry_4,MistrustB_8,undirected,0
593,Worry_4,MistrustB_8,none,150
594,Worry_4,MistrustB_8,unknown,0
595,Worry_4,MistrustB_9,u->v,1
596,Worry_4,MistrustB_9,v->u,7
597,Worry_4,MistrustB_9,undirected,0
598,Worry_4,MistrustB_9,none,146
599,Worry_4,MistrustB_9,unknown,0
600,Worry_4,MistrustB_10,u->v,1
601,Worry_4,MistrustB_10,v->u,0
602,Worry_4,MistrustB_10,undirected,0
603,Worry_4,MistrustB_10,none,153
604,Worry_4,MistrustB_10,unknown,0
605,Worry_4,Sleep_1,u->v,0
606,Worry_4,Sleep_1,v->u,1
607,Worry_4,Sleep_1,undirected,0
608,Worry_4,Sleep_1,none,153
609,Worry_4,Sleep_1,unknown,0
610,Worry_4,Sleep_2,u->v,0
611,Worry_4,Sleep_2,v->u,0
612,Worry_4,Sleep_2,undirected,0
613,Worry_4,Sleep_2,none,154
614,Worry_4,Sleep_2,unknown,0
615,Worry_4,Sleep_3,u->v,0
616,Worry_4,Sleep_3,v->u,0
617,Worry_4,Sleep_3,undirected,0
618,Worry_4,Sleep_3,none,154
619,Worry_4,Sleep_3,unknown,0
620,Worry_4,Sleep_4,u->v,0
621,Worry_4,Sleep_4,v->u,1
622,Worry_4,Sleep_4,undirected,0
623,Worry_4,Sleep_4,none,153
624,Worry_4,Sleep_4,unknown,0
625,Worry_4,Sleep_5,u->v,0
626,Worry_4,Sleep_5,v->u,1
627,Worry_4,Sleep_5,undirected,0
628,Worry_4,Sleep_5,none,153
629,Worry_4,Sleep_5,unknown,0
630,Worry_4,Sleep_6,u->v,0
631,Worry_4,Sleep_6,v->u,2
632,Worry_4,Sleep_6,undirected,0
633,Worry_4,Sleep_6,none,152
634,Worry_4,Sleep_6,unknown,0
635,Worry_4,Sleep_7,u->v,0
636,Worry_4,Sleep_7,v->u,1
637,Worry_4,Sleep_7,undirected,0
638,Worry_4,Sleep_7,none,153
639,Worry_4,Sleep_7,unknown,0
640,Worry_4,L1,u->v,0
641,Worry_4,L1,v->u,17
642,Worry_4,L1,undirected,1
643,Worry_4,L1,none,136
644,Worry_4,L1,unknown,0
645,Worry_4,L2,u->v,0
646,Worry_4,L2,v->u,14
647,Worry_4,L2,undirected,0
648,Worry_4,L2,none,140
649,Worry_4,L2,unknown,0
650,Worry_4,L3,u->v,0
651,Worry_4,L3,v->u,64
652,Worry_4,L3,undirected,0
653,Worry_4,L3,none,90
654,Worry_4,L3,unknown,0
655,Worry_4,L4,u->v,0
656,Worry_4,L4,v->u,14
657,Worry_4,L4,undirected,0
658,Worry_4,L4,none,140
659,Worry_4,L4,unknown,0
660,Worry_4,L5,u->v,0
661,Worry_4,L5,v->u,10
662,Worry_4,L5,undirected,0
663,Worry_4,L5,none,144
664,Worry_4,L5,unknown,0
665,Worry_4,L6,u->v,0
666,Worry_4,L6,v->u,18
667,Worry_4,L6,undirected,0
668,Worry_4,L6,none,136
669,Worry_4,L6,unknown,0
670,Worry_4,L7,u->v,0
671,Worry_4,L7,v->u,19
672,Worry_4,L7,undirected,0
673,Worry_4,L7,none,135
674,Worry_4,L7,unknown,0
675,Worry_4,L8,u->v,0
676,Worry_4,L8,v->u,16
677,Worry_4,L8,undirected,0
678,Worry_4,L8,none,138
679,Worry_4,L8,unknown,0
680,Worry_4,L9,u->v,0
681,Worry_4,L9,v->u,9
682,Worry_4,L9,undirected,0
683,Worry_4,L9,none,145
684,Worry_4,L9,unknown,0
685,Worry_4,L10,u->v,0
686,Worry_4,L10,v->u,5
