Scenario,Method,Sample_Size,Run_ID,F1 Score,SHD
Tree_Case_Flexible,GES,2000,15,0.1764705882352941,28
Latent_Hierarchical_Structure,GES,2000,15,0.0,44
LLCM_Flexible,GES,2000,15,0.23255813953488372,33
Measured1,GES,5000,15,1.0,0
Measured2,GES,5000,15,1.0,0
Simple_Case_Tree,GES,5000,15,0.0,35
Tree_Case_Flexible,GES,5000,15,0.16666666666666663,30
Latent_Hierarchical_Structure,GES,5000,15,0.0,48
LLCM_Flexible,GES,5000,15,0.22222222222222224,35
Measured1,GES,10000,15,1.0,0
Measured2,GES,10000,15,1.0,0
Simple_Case_Tree,GES,10000,15,0.0,37
Tree_Case_Flexible,GES,10000,15,0.16666666666666663,30
Latent_Hierarchical_Structure,GES,10000,15,0.0,52
LLCM_Flexible,GES,10000,15,0.22222222222222224,35
Measured1,GES,2000,16,1.0,0
Measured2,GES,2000,16,0.9090909090909091,5
Simple_Case_Tree,GES,2000,16,0.0,33
Tree_Case_Flexible,GES,2000,16,0.19999999999999998,27
Latent_Hierarchical_Structure,GES,2000,16,0.0,44
LLCM_Flexible,GES,2000,16,0.2,41
Measured1,GES,5000,16,0.962962962962963,3
Measured2,GES,5000,16,1.0,0
Simple_Case_Tree,GES,5000,16,0.0,35
Tree_Case_Flexible,GES,5000,16,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,5000,16,0.0,48
LLCM_Flexible,GES,5000,16,0.22222222222222224,35
Measured1,GES,10000,16,0.962962962962963,3
Measured2,GES,10000,16,0.9565217391304348,1
Simple_Case_Tree,GES,10000,16,0.0,37
Tree_Case_Flexible,GES,10000,16,0.16666666666666663,30
Latent_Hierarchical_Structure,GES,10000,16,0.0,52
LLCM_Flexible,GES,10000,16,0.22222222222222224,35
Measured1,GES,2000,17,1.0,0
Measured2,GES,2000,17,1.0,0
Simple_Case_Tree,GES,2000,17,0.0,32
Tree_Case_Flexible,GES,2000,17,0.1935483870967742,25
Latent_Hierarchical_Structure,GES,2000,17,0.0,47
LLCM_Flexible,GES,2000,17,0.20833333333333331,41
Measured1,GES,5000,17,1.0,0
Measured2,GES,5000,17,1.0,0
Simple_Case_Tree,GES,5000,17,0.0,35
Tree_Case_Flexible,GES,5000,17,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,5000,17,0.0,51
LLCM_Flexible,GES,5000,17,0.2127659574468085,39
Measured1,GES,10000,17,1.0,0
Measured2,GES,10000,17,1.0,0
Simple_Case_Tree,GES,10000,17,0.0,38
Tree_Case_Flexible,GES,10000,17,0.1764705882352941,28
Latent_Hierarchical_Structure,GES,10000,17,0.0,56
LLCM_Flexible,GES,10000,17,0.19607843137254902,43
Measured1,GES,2000,18,0.962962962962963,2
Measured2,GES,2000,18,1.0,0
Simple_Case_Tree,GES,2000,18,0.0,32
Tree_Case_Flexible,GES,2000,18,0.1875,29
Latent_Hierarchical_Structure,GES,2000,18,0.0,44
LLCM_Flexible,GES,2000,18,0.25,30
Measured1,GES,5000,18,1.0,0
Measured2,GES,5000,18,1.0,0
Simple_Case_Tree,GES,5000,18,0.0,36
Tree_Case_Flexible,GES,5000,18,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,5000,18,0.0,48
LLCM_Flexible,GES,5000,18,0.22727272727272727,38
Measured1,GES,10000,18,1.0,0
Measured2,GES,10000,18,1.0,0
Simple_Case_Tree,GES,10000,18,0.0,36
Tree_Case_Flexible,GES,10000,18,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,10000,18,0.0,50
LLCM_Flexible,GES,10000,18,0.25,30
Measured1,GES,2000,19,0.962962962962963,2
Measured2,GES,2000,19,0.9565217391304348,3
Simple_Case_Tree,GES,2000,19,0.0,37
Tree_Case_Flexible,GES,2000,19,0.1764705882352941,29
Latent_Hierarchical_Structure,GES,2000,19,0.0,39
LLCM_Flexible,GES,2000,19,0.14634146341463414,37
Measured1,GES,5000,19,0.962962962962963,1
Measured2,GES,5000,19,1.0,0
Simple_Case_Tree,GES,5000,19,0.0,37
Tree_Case_Flexible,GES,5000,19,0.17142857142857143,29
Latent_Hierarchical_Structure,GES,5000,19,0.0,41
LLCM_Flexible,GES,5000,19,0.1702127659574468,42
Measured1,GES,10000,19,1.0,0
Measured2,GES,10000,19,1.0,0
Simple_Case_Tree,GES,10000,19,0.0,37
Tree_Case_Flexible,GES,10000,19,0.17142857142857143,30
Latent_Hierarchical_Structure,GES,10000,19,0.0,46
LLCM_Flexible,GES,10000,19,0.16326530612244897,44
Measured1,GES,2000,20,1.0,0
Measured2,GES,2000,20,0.6086956521739131,15
Simple_Case_Tree,GES,2000,20,0.0,31
Tree_Case_Flexible,GES,2000,20,0.1875,26
Latent_Hierarchical_Structure,GES,2000,20,0.0,45
LLCM_Flexible,GES,2000,20,0.22727272727272727,35
Measured1,GES,5000,20,1.0,0
Measured2,GES,5000,20,1.0,0
Simple_Case_Tree,GES,5000,20,0.0,34
Tree_Case_Flexible,GES,5000,20,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,5000,20,0.0,50
LLCM_Flexible,GES,5000,20,0.22222222222222224,35
Measured1,GES,10000,20,0.962962962962963,1
Measured2,GES,10000,20,1.0,0
Simple_Case_Tree,GES,10000,20,0.0,36
Tree_Case_Flexible,GES,10000,20,0.17142857142857143,29
Latent_Hierarchical_Structure,GES,10000,20,0.0,56
LLCM_Flexible,GES,10000,20,0.22727272727272727,34
Measured1,GES,2000,21,1.0,0
Measured2,GES,2000,21,0.9090909090909091,5
Simple_Case_Tree,GES,2000,21,0.0,31
Tree_Case_Flexible,GES,2000,21,0.16666666666666663,30
Latent_Hierarchical_Structure,GES,2000,21,0.0,49
LLCM_Flexible,GES,2000,21,0.22222222222222224,35
Measured1,GES,5000,21,1.0,0
Measured2,GES,5000,21,1.0,0
Simple_Case_Tree,GES,5000,21,0.0,34
Tree_Case_Flexible,GES,5000,21,0.16666666666666663,30
Latent_Hierarchical_Structure,GES,5000,21,0.0,54
LLCM_Flexible,GES,5000,21,0.2173913043478261,36
Measured1,GES,10000,21,1.0,0
Measured2,GES,10000,21,1.0,0
Simple_Case_Tree,GES,10000,21,0.0,36
Tree_Case_Flexible,GES,10000,21,0.16666666666666663,30
Latent_Hierarchical_Structure,GES,10000,21,0.0,56
LLCM_Flexible,GES,10000,21,0.20833333333333331,38
Measured1,GES,2000,22,1.0,0
Measured2,GES,2000,22,0.9565217391304348,6
Simple_Case_Tree,GES,2000,22,0.0,34
Tree_Case_Flexible,GES,2000,22,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,2000,22,0.0,46
LLCM_Flexible,GES,2000,22,0.22727272727272727,36
Measured1,GES,5000,22,0.962962962962963,1
Measured2,GES,5000,22,0.9565217391304348,1
Simple_Case_Tree,GES,5000,22,0.0,38
Tree_Case_Flexible,GES,5000,22,0.16666666666666663,30
Latent_Hierarchical_Structure,GES,5000,22,0.0,49
LLCM_Flexible,GES,5000,22,0.22727272727272727,36
Measured1,GES,10000,22,1.0,0
Measured2,GES,10000,22,1.0,0
Simple_Case_Tree,GES,10000,22,0.0,39
Tree_Case_Flexible,GES,10000,22,0.17142857142857143,29
Latent_Hierarchical_Structure,GES,10000,22,0.0,52
LLCM_Flexible,GES,10000,22,0.2173913043478261,40
Measured1,GES,2000,23,0.9285714285714286,4
Measured2,GES,2000,23,1.0,0
Simple_Case_Tree,GES,2000,23,0.0,35
Tree_Case_Flexible,GES,2000,23,0.1935483870967742,25
Latent_Hierarchical_Structure,GES,2000,23,0.0,44
LLCM_Flexible,GES,2000,23,0.25641025641025644,29
Measured1,GES,5000,23,1.0,0
Measured2,GES,5000,23,1.0,0
Simple_Case_Tree,GES,5000,23,0.0,35
Tree_Case_Flexible,GES,5000,23,0.1875,26
Latent_Hierarchical_Structure,GES,5000,23,0.0,51
LLCM_Flexible,GES,5000,23,0.25641025641025644,29
Measured1,GES,10000,23,1.0,0
Measured2,GES,10000,23,1.0,0
Simple_Case_Tree,GES,10000,23,0.0,36
Tree_Case_Flexible,GES,10000,23,0.1764705882352941,31
Latent_Hierarchical_Structure,GES,10000,23,0.0,53
LLCM_Flexible,GES,10000,23,0.24390243902439024,31
Measured1,GES,2000,24,1.0,0
Measured2,GES,2000,24,1.0,0
Simple_Case_Tree,GES,2000,24,0.0,34
Tree_Case_Flexible,GES,2000,24,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,2000,24,0.0,46
LLCM_Flexible,GES,2000,24,0.24390243902439024,32
Measured1,GES,5000,24,0.962962962962963,2
Measured2,GES,5000,24,0.9090909090909091,5
Simple_Case_Tree,GES,5000,24,0.0,36
Tree_Case_Flexible,GES,5000,24,0.1764705882352941,28
Latent_Hierarchical_Structure,GES,5000,24,0.0,51
LLCM_Flexible,GES,5000,24,0.23255813953488372,37
Measured1,GES,10000,24,1.0,0
Measured2,GES,10000,24,0.9565217391304348,1
Simple_Case_Tree,GES,10000,24,0.0,36
Tree_Case_Flexible,GES,10000,24,0.1764705882352941,28
Latent_Hierarchical_Structure,GES,10000,24,0.0,52
LLCM_Flexible,GES,10000,24,0.22727272727272727,35
Measured1,GES,2000,25,1.0,0
Measured2,GES,2000,25,0.9565217391304348,1
Simple_Case_Tree,GES,2000,25,0.0,34
Tree_Case_Flexible,GES,2000,25,0.1875,26
Latent_Hierarchical_Structure,GES,2000,25,0.0,42
LLCM_Flexible,GES,2000,25,0.22222222222222224,39
Measured1,GES,5000,25,1.0,0
Measured2,GES,5000,25,1.0,0
Simple_Case_Tree,GES,5000,25,0.0,36
Tree_Case_Flexible,GES,5000,25,0.1764705882352941,28
Latent_Hierarchical_Structure,GES,5000,25,0.0,47
LLCM_Flexible,GES,5000,25,0.2,43
Measured1,GES,10000,25,1.0,0
Measured2,GES,10000,25,1.0,0
Simple_Case_Tree,GES,10000,25,0.0,37
Tree_Case_Flexible,GES,10000,25,0.17142857142857143,29
Latent_Hierarchical_Structure,GES,10000,25,0.0,49
LLCM_Flexible,GES,10000,25,0.2,44
Measured1,GES,2000,26,1.0,0
Measured2,GES,2000,26,1.0,0
Simple_Case_Tree,GES,2000,26,0.0,31
Tree_Case_Flexible,GES,2000,26,0.1875,26
Latent_Hierarchical_Structure,GES,2000,26,0.0,40
LLCM_Flexible,GES,2000,26,0.23809523809523808,32
Measured1,GES,5000,26,1.0,0
Measured2,GES,5000,26,1.0,0
Simple_Case_Tree,GES,5000,26,0.0,34
Tree_Case_Flexible,GES,5000,26,0.17142857142857143,29
Latent_Hierarchical_Structure,GES,5000,26,0.0,44
LLCM_Flexible,GES,5000,26,0.23809523809523808,32
Measured1,GES,10000,26,1.0,0
Measured2,GES,10000,26,1.0,0
Simple_Case_Tree,GES,10000,26,0.0,35
Tree_Case_Flexible,GES,10000,26,0.17142857142857143,29
Latent_Hierarchical_Structure,GES,10000,26,0.0,47
LLCM_Flexible,GES,10000,26,0.22727272727272727,34
Measured1,GES,2000,27,1.0,0
Measured2,GES,2000,27,0.9565217391304348,1
Simple_Case_Tree,GES,2000,27,0.0,36
Tree_Case_Flexible,GES,2000,27,0.1935483870967742,25
Latent_Hierarchical_Structure,GES,2000,27,0.0,44
LLCM_Flexible,GES,2000,27,0.2173913043478261,38
Measured1,GES,5000,27,0.888888888888889,9
Measured2,GES,5000,27,1.0,0
Simple_Case_Tree,GES,5000,27,0.0,39
Tree_Case_Flexible,GES,5000,27,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,5000,27,0.0,46
LLCM_Flexible,GES,5000,27,0.20833333333333331,40
Measured1,GES,10000,27,0.888888888888889,9
Measured2,GES,10000,27,1.0,0
Simple_Case_Tree,GES,10000,27,0.0,38
Tree_Case_Flexible,GES,10000,27,0.1875,26
Latent_Hierarchical_Structure,GES,10000,27,0.0,49
LLCM_Flexible,GES,10000,27,0.19607843137254902,43
Measured1,GES,2000,28,0.896551724137931,11
Measured2,GES,2000,28,1.0,0
Simple_Case_Tree,GES,2000,28,0.0,31
Tree_Case_Flexible,GES,2000,28,0.18181818181818182,30
Latent_Hierarchical_Structure,GES,2000,28,0.0,41
LLCM_Flexible,GES,2000,28,0.17391304347826086,41
Measured1,GES,5000,28,1.0,0
Measured2,GES,5000,28,1.0,0
Simple_Case_Tree,GES,5000,28,0.0,33
Tree_Case_Flexible,GES,5000,28,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,5000,28,0.0,46
LLCM_Flexible,GES,5000,28,0.16666666666666666,43
Measured1,GES,10000,28,0.9285714285714286,11
Measured2,GES,10000,28,1.0,0
Simple_Case_Tree,GES,10000,28,0.0,36
Tree_Case_Flexible,GES,10000,28,0.1764705882352941,28
Latent_Hierarchical_Structure,GES,10000,28,0.0,50
LLCM_Flexible,GES,10000,28,0.19607843137254902,43
Measured1,GES,2000,29,1.0,0
Measured2,GES,2000,29,0.7272727272727273,7
Simple_Case_Tree,GES,2000,29,0.0,36
Tree_Case_Flexible,GES,2000,29,0.20689655172413796,23
Latent_Hierarchical_Structure,GES,2000,29,0.0,44
LLCM_Flexible,GES,2000,29,0.23809523809523808,35
Measured1,GES,5000,29,1.0,0
Measured2,GES,5000,29,0.9090909090909091,3
Simple_Case_Tree,GES,5000,29,0.0,35
Tree_Case_Flexible,GES,5000,29,0.1935483870967742,25
Latent_Hierarchical_Structure,GES,5000,29,0.0,48
LLCM_Flexible,GES,5000,29,0.22727272727272727,38
Measured1,GES,10000,29,1.0,0
Measured2,GES,10000,29,1.0,0
Simple_Case_Tree,GES,10000,29,0.0,39
Tree_Case_Flexible,GES,10000,29,0.1935483870967742,25
Latent_Hierarchical_Structure,GES,10000,29,0.0,52
LLCM_Flexible,GES,10000,29,0.23255813953488372,35
Measured1,GES,2000,30,0.888888888888889,5
Measured2,GES,2000,30,1.0,0
Simple_Case_Tree,GES,2000,30,0.0,32
Tree_Case_Flexible,GES,2000,30,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,2000,30,0.0,43
LLCM_Flexible,GES,2000,30,0.2127659574468085,37
Measured1,GES,5000,30,1.0,0
Measured2,GES,5000,30,1.0,0
Simple_Case_Tree,GES,5000,30,0.0,35
Tree_Case_Flexible,GES,5000,30,0.1875,26
Latent_Hierarchical_Structure,GES,5000,30,0.0,45
LLCM_Flexible,GES,5000,30,0.23809523809523808,32
Measured1,GES,10000,30,1.0,0
Measured2,GES,10000,30,1.0,0
Simple_Case_Tree,GES,10000,30,0.0,36
Tree_Case_Flexible,GES,10000,30,0.18181818181818182,27
Latent_Hierarchical_Structure,GES,10000,30,0.0,47
LLCM_Flexible,GES,10000,30,0.20408163265306123,39
