u,v,edge_type,count,prop,sum,undirected_props
MistrustB_6,MistrustB_9,v->u,25,0.16233766233766234,154,0.18181818181818182
MistrustB_7,MistrustB_9,v->u,25,0.16233766233766234,154,0.2012987012987013
Sleep_7,L3,v->u,25,0.16233766233766234,154,0.16233766233766234
MistrustB_3,MistrustB_10,u->v,24,0.15584415584415584,154,0.21428571428571427
MistrustB_8,MistrustB_9,v->u,24,0.15584415584415584,154,0.2532467532467532
MistrustB_9,MistrustB_10,u->v,24,0.15584415584415584,154,0.18831168831168832
Sleep_1,L1,v->u,24,0.15584415584415584,154,0.15584415584415584
Sleep_1,L3,v->u,24,0.15584415584415584,154,0.16233766233766234
Sleep_2,Sleep_3,u->v,24,0.15584415584415584,154,0.474025974025974
L3,L8,u->v,24,0.15584415584415584,154,0.15584415584415584
L4,L6,u->v,24,0.15584415584415584,154,0.2077922077922078
Worry_6,Worry_7,u->v,23,0.14935064935064934,154,0.3441558441558441
Worry_10,L5,v->u,23,0.14935064935064934,154,0.18181818181818182
MistrustB_5,MistrustB_10,u->v,23,0.14935064935064934,154,0.2207792207792208
Worry_1,Worry_3,u->v,22,0.14285714285714285,154,0.16883116883116883
Worry_1,Worry_9,v->u,22,0.14285714285714285,154,0.14285714285714285
Worry_2,Worry_9,v->u,22,0.14285714285714285,154,0.14285714285714285
Worry_7,L6,v->u,22,0.14285714285714285,154,0.2077922077922078
MistrustB_5,L9,v->u,22,0.14285714285714285,154,0.14285714285714285
Sleep_2,L1,v->u,22,0.14285714285714285,154,0.14935064935064934
Worry_6,L6,v->u,21,0.13636363636363635,154,0.16233766233766234
Worry_6,L7,v->u,21,0.13636363636363635,154,0.16883116883116883
Worry_7,L7,v->u,21,0.13636363636363635,154,0.18831168831168832
MistrustB_5,MistrustB_9,u->v,21,0.13636363636363635,154,0.2662337662337662
Sleep_2,L3,v->u,21,0.13636363636363635,154,0.16233766233766234
Sleep_4,L3,v->u,21,0.13636363636363635,154,0.13636363636363635
Sleep_7,L4,v->u,21,0.13636363636363635,154,0.16883116883116883
Worry_3,L4,v->u,20,0.12987012987012986,154,0.13636363636363635
MistrustB_3,MistrustB_7,u->v,20,0.12987012987012986,154,0.21428571428571427
Sleep_2,Sleep_4,v->u,20,0.12987012987012986,154,0.1948051948051948
Worry_4,L7,v->u,19,0.12337662337662338,154,0.12337662337662338
Worry_5,L6,v->u,19,0.12337662337662338,154,0.13636363636363635
Worry_6,Worry_7,v->u,19,0.12337662337662338,154,0.3441558441558441
Worry_6,Sleep_4,u->v,19,0.12337662337662338,154,0.18181818181818182
Worry_6,Sleep_6,u->v,19,0.12337662337662338,154,0.14935064935064934
Worry_6,L10,v->u,19,0.12337662337662338,154,0.2142857142857143
Worry_9,MistrustB_8,u->v,19,0.12337662337662338,154,0.12987012987012986
Worry_10,L9,v->u,19,0.12337662337662338,154,0.16233766233766234
MistrustB_1,MistrustB_9,v->u,19,0.12337662337662338,154,0.13636363636363635
MistrustB_3,MistrustB_6,u->v,19,0.12337662337662338,154,0.15584415584415584
L6,L7,v->u,19,0.12337662337662338,154,0.3116883116883117
Worry_1,Worry_5,u->v,18,0.11688311688311688,154,0.12337662337662338
Worry_1,L5,v->u,18,0.11688311688311688,154,0.16233766233766234
Worry_3,L5,v->u,18,0.11688311688311688,154,0.11688311688311688
Worry_4,L6,v->u,18,0.11688311688311688,154,0.11688311688311688
Worry_6,Sleep_5,u->v,18,0.11688311688311688,154,0.14285714285714285
MistrustB_5,MistrustB_9,v->u,18,0.11688311688311688,154,0.2662337662337662
MistrustB_8,L6,v->u,18,0.11688311688311688,154,0.12337662337662338
Sleep_1,Sleep_4,v->u,18,0.11688311688311688,154,0.13636363636363635
Sleep_2,Sleep_6,u->v,18,0.11688311688311688,154,0.12337662337662338
Sleep_6,L3,v->u,18,0.11688311688311688,154,0.11688311688311688
L3,L6,u->v,18,0.11688311688311688,154,0.3051948051948052
Worry_1,MistrustB_1,u->v,17,0.11038961038961038,154,0.11688311688311688
Worry_1,MistrustB_3,u->v,17,0.11038961038961038,154,0.12987012987012986
Worry_1,L6,v->u,17,0.11038961038961038,154,0.12337662337662338
Worry_4,L1,v->u,17,0.11038961038961038,154,0.11688311688311688
Worry_5,Worry_6,v->u,17,0.11038961038961038,154,0.14285714285714285
Worry_5,Worry_10,v->u,17,0.11038961038961038,154,0.14935064935064934
Sleep_5,L3,v->u,17,0.11038961038961038,154,0.11688311688311688
L3,L5,u->v,17,0.11038961038961038,154,0.11688311688311688
Worry_1,Worry_8,v->u,16,0.1038961038961039,154,0.1038961038961039
Worry_1,MistrustB_7,u->v,16,0.1038961038961039,154,0.1038961038961039
Worry_1,MistrustB_8,u->v,16,0.1038961038961039,154,0.1103896103896104
Worry_2,Worry_8,v->u,16,0.1038961038961039,154,0.1038961038961039
Worry_3,Worry_6,v->u,16,0.1038961038961039,154,0.12987012987012989
Worry_3,L1,v->u,16,0.1038961038961039,154,0.1103896103896104
Worry_3,L2,v->u,16,0.1038961038961039,154,0.1038961038961039
Worry_3,L7,v->u,16,0.1038961038961039,154,0.1038961038961039
Worry_4,Worry_6,v->u,16,0.1038961038961039,154,0.1103896103896104
Worry_4,L8,v->u,16,0.1038961038961039,154,0.1038961038961039
Worry_5,L2,v->u,16,0.1038961038961039,154,0.13636363636363638
Worry_7,Sleep_1,u->v,16,0.1038961038961039,154,0.1103896103896104
Worry_7,Sleep_2,u->v,16,0.1038961038961039,154,0.1168831168831169
Worry_7,L9,v->u,16,0.1038961038961039,154,0.14285714285714285
Worry_9,MistrustB_2,u->v,16,0.1038961038961039,154,0.1038961038961039
Worry_9,MistrustB_10,u->v,16,0.1038961038961039,154,0.1038961038961039
MistrustB_2,MistrustB_5,v->u,16,0.1038961038961039,154,0.1168831168831169
MistrustB_3,MistrustB_9,u->v,16,0.1038961038961039,154,0.16883116883116883
MistrustB_4,MistrustB_5,v->u,16,0.1038961038961039,154,0.12987012987012989
MistrustB_9,L6,v->u,16,0.1038961038961039,154,0.12337662337662339
Sleep_2,Sleep_7,u->v,16,0.1038961038961039,154,0.13636363636363638
L1,L4,v->u,16,0.1038961038961039,154,0.18831168831168832
Worry_1,Worry_7,u->v,15,0.09740259740259741,154,0.14285714285714285
Worry_1,MistrustB_2,u->v,15,0.09740259740259741,154,0.1038961038961039
Worry_1,MistrustB_4,u->v,15,0.09740259740259741,154,0.09740259740259741
Worry_2,L6,v->u,15,0.09740259740259741,154,0.09740259740259741
Worry_3,Worry_9,v->u,15,0.09740259740259741,154,0.09740259740259741
Worry_4,Worry_7,v->u,15,0.09740259740259741,154,0.1103896103896104
Worry_5,L7,v->u,15,0.09740259740259741,154,0.1168831168831169
Worry_7,L2,v->u,15,0.09740259740259741,154,0.12337662337662339
Worry_9,MistrustB_5,u->v,15,0.09740259740259741,154,0.09740259740259741
Worry_10,L7,v->u,15,0.09740259740259741,154,0.12337662337662339
MistrustB_2,L6,v->u,15,0.09740259740259741,154,0.09740259740259741
Sleep_3,L1,v->u,15,0.09740259740259741,154,0.1103896103896104
Sleep_3,L4,v->u,15,0.09740259740259741,154,0.12337662337662339
L2,L3,v->u,15,0.09740259740259741,154,0.16233766233766234
Worry_1,MistrustB_5,u->v,14,0.09090909090909091,154,0.09090909090909091
Worry_2,L5,v->u,14,0.09090909090909091,154,0.09090909090909091
Worry_3,L6,v->u,14,0.09090909090909091,154,0.09090909090909091
Worry_4,L2,v->u,14,0.09090909090909091,154,0.09090909090909091
Worry_4,L4,v->u,14,0.09090909090909091,154,0.09090909090909091
Worry_9,MistrustB_4,u->v,14,0.09090909090909091,154,0.09740259740259741
Worry_9,MistrustB_6,u->v,14,0.09090909090909091,154,0.09090909090909091
Worry_9,MistrustB_7,u->v,14,0.09090909090909091,154,0.09090909090909091
Worry_9,MistrustB_9,u->v,14,0.09090909090909091,154,0.09740259740259741
Worry_10,L10,v->u,14,0.09090909090909091,154,0.1103896103896104
