,u,v,edge_type,count
236,Worry_2,MistrustB_4,v->u,1
237,Worry_2,MistrustB_4,undirected,0
238,Worry_2,MistrustB_4,none,215
239,Worry_2,MistrustB_4,unknown,7
240,Worry_2,MistrustB_5,u->v,4
241,Worry_2,MistrustB_5,v->u,2
242,Worry_2,MistrustB_5,undirected,0
243,Worry_2,MistrustB_5,none,210
244,Worry_2,MistrustB_5,unknown,7
245,Worry_2,MistrustB_6,u->v,0
246,Worry_2,MistrustB_6,v->u,3
247,Worry_2,MistrustB_6,undirected,0
248,Worry_2,MistrustB_6,none,213
249,Worry_2,MistrustB_6,unknown,7
250,Worry_2,MistrustB_7,u->v,0
251,Worry_2,MistrustB_7,v->u,7
252,Worry_2,MistrustB_7,undirected,0
253,Worry_2,MistrustB_7,none,209
254,Worry_2,MistrustB_7,unknown,7
255,Worry_2,MistrustB_8,u->v,0
256,Worry_2,MistrustB_8,v->u,4
257,Worry_2,MistrustB_8,undirected,0
258,Worry_2,MistrustB_8,none,212
259,Worry_2,MistrustB_8,unknown,7
260,Worry_2,MistrustB_9,u->v,0
261,Worry_2,MistrustB_9,v->u,6
262,Worry_2,MistrustB_9,undirected,0
263,Worry_2,MistrustB_9,none,210
264,Worry_2,MistrustB_9,unknown,7
265,Worry_2,MistrustB_10,u->v,0
266,Worry_2,MistrustB_10,v->u,1
267,Worry_2,MistrustB_10,undirected,0
268,Worry_2,MistrustB_10,none,215
269,Worry_2,MistrustB_10,unknown,7
270,Worry_2,Sleep_1,u->v,0
271,Worry_2,Sleep_1,v->u,1
272,Worry_2,Sleep_1,undirected,0
273,Worry_2,Sleep_1,none,215
274,Worry_2,Sleep_1,unknown,7
275,Worry_2,Sleep_2,u->v,0
276,Worry_2,Sleep_2,v->u,1
277,Worry_2,Sleep_2,undirected,0
278,Worry_2,Sleep_2,none,215
279,Worry_2,Sleep_2,unknown,7
280,Worry_2,Sleep_3,u->v,0
281,Worry_2,Sleep_3,v->u,1
282,Worry_2,Sleep_3,undirected,0
283,Worry_2,Sleep_3,none,215
284,Worry_2,Sleep_3,unknown,7
285,Worry_2,Sleep_4,u->v,1
286,Worry_2,Sleep_4,v->u,13
287,Worry_2,Sleep_4,undirected,1
288,Worry_2,Sleep_4,none,201
289,Worry_2,Sleep_4,unknown,7
290,Worry_2,Sleep_5,u->v,0
291,Worry_2,Sleep_5,v->u,2
292,Worry_2,Sleep_5,undirected,0
293,Worry_2,Sleep_5,none,214
294,Worry_2,Sleep_5,unknown,7
295,Worry_2,Sleep_6,u->v,0
296,Worry_2,Sleep_6,v->u,3
297,Worry_2,Sleep_6,undirected,0
298,Worry_2,Sleep_6,none,213
299,Worry_2,Sleep_6,unknown,7
300,Worry_2,Sleep_7,u->v,0
301,Worry_2,Sleep_7,v->u,2
302,Worry_2,Sleep_7,undirected,0
303,Worry_2,Sleep_7,none,214
304,Worry_2,Sleep_7,unknown,7
305,Worry_2,L1,u->v,2
306,Worry_2,L1,v->u,6
307,Worry_2,L1,undirected,0
308,Worry_2,L1,none,215
309,Worry_2,L1,unknown,0
310,Worry_2,L2,u->v,19
311,Worry_2,L2,v->u,34
312,Worry_2,L2,undirected,0
313,Worry_2,L2,none,170
314,Worry_2,L2,unknown,0
315,Worry_2,L3,u->v,31
316,Worry_2,L3,v->u,84
317,Worry_2,L3,undirected,0
318,Worry_2,L3,none,108
319,Worry_2,L3,unknown,0
320,Worry_2,L4,u->v,0
321,Worry_2,L4,v->u,2
322,Worry_2,L4,undirected,0
323,Worry_2,L4,none,221
324,Worry_2,L4,unknown,0
325,Worry_2,L5,u->v,11
326,Worry_2,L5,v->u,30
327,Worry_2,L5,undirected,0
328,Worry_2,L5,none,182
329,Worry_2,L5,unknown,0
330,Worry_2,L6,u->v,3
331,Worry_2,L6,v->u,3
332,Worry_2,L6,undirected,0
333,Worry_2,L6,none,217
334,Worry_2,L6,unknown,0
335,Worry_2,L7,u->v,27
336,Worry_2,L7,v->u,45
337,Worry_2,L7,undirected,0
338,Worry_2,L7,none,151
339,Worry_2,L7,unknown,0
340,Worry_2,L8,u->v,0
341,Worry_2,L8,v->u,28
342,Worry_2,L8,undirected,0
343,Worry_2,L8,none,195
344,Worry_2,L8,unknown,0
345,Worry_2,L9,u->v,0
346,Worry_2,L9,v->u,2
347,Worry_2,L9,undirected,0
348,Worry_2,L9,none,221
349,Worry_2,L9,unknown,0
350,Worry_2,L10,u->v,12
351,Worry_2,L10,v->u,25
352,Worry_2,L10,undirected,0
353,Worry_2,L10,none,186
354,Worry_2,L10,unknown,0
355,Worry_3,Worry_4,u->v,3
356,Worry_3,Worry_4,v->u,22
357,Worry_3,Worry_4,undirected,0
358,Worry_3,Worry_4,none,191
359,Worry_3,Worry_4,unknown,7
360,Worry_3,Worry_5,u->v,2
361,Worry_3,Worry_5,v->u,4
362,Worry_3,Worry_5,undirected,0
363,Worry_3,Worry_5,none,210
364,Worry_3,Worry_5,unknown,7
365,Worry_3,Worry_6,u->v,15
366,Worry_3,Worry_6,v->u,17
367,Worry_3,Worry_6,undirected,0
368,Worry_3,Worry_6,none,184
369,Worry_3,Worry_6,unknown,7
370,Worry_3,Worry_7,u->v,11
371,Worry_3,Worry_7,v->u,64
372,Worry_3,Worry_7,undirected,0
373,Worry_3,Worry_7,none,141
374,Worry_3,Worry_7,unknown,7
375,Worry_3,Worry_8,u->v,6
376,Worry_3,Worry_8,v->u,9
377,Worry_3,Worry_8,undirected,0
378,Worry_3,Worry_8,none,201
379,Worry_3,Worry_8,unknown,7
380,Worry_3,Worry_9,u->v,4
381,Worry_3,Worry_9,v->u,5
382,Worry_3,Worry_9,undirected,0
383,Worry_3,Worry_9,none,207
384,Worry_3,Worry_9,unknown,7
385,Worry_3,Worry_10,u->v,19
386,Worry_3,Worry_10,v->u,68
387,Worry_3,Worry_10,undirected,0
388,Worry_3,Worry_10,none,129
389,Worry_3,Worry_10,unknown,7
390,Worry_3,MistrustB_1,u->v,3
391,Worry_3,MistrustB_1,v->u,1
392,Worry_3,MistrustB_1,undirected,0
393,Worry_3,MistrustB_1,none,212
394,Worry_3,MistrustB_1,unknown,7
395,Worry_3,MistrustB_2,u->v,2
396,Worry_3,MistrustB_2,v->u,2
397,Worry_3,MistrustB_2,undirected,0
398,Worry_3,MistrustB_2,none,212
399,Worry_3,MistrustB_2,unknown,7
400,Worry_3,MistrustB_3,u->v,6
401,Worry_3,MistrustB_3,v->u,3
402,Worry_3,MistrustB_3,undirected,0
403,Worry_3,MistrustB_3,none,207
404,Worry_3,MistrustB_3,unknown,7
405,Worry_3,MistrustB_4,u->v,2
406,Worry_3,MistrustB_4,v->u,0
407,Worry_3,MistrustB_4,undirected,0
408,Worry_3,MistrustB_4,none,214
409,Worry_3,MistrustB_4,unknown,7
410,Worry_3,MistrustB_5,u->v,7
411,Worry_3,MistrustB_5,v->u,2
412,Worry_3,MistrustB_5,undirected,0
413,Worry_3,MistrustB_5,none,207
414,Worry_3,MistrustB_5,unknown,7
415,Worry_3,MistrustB_6,u->v,3
416,Worry_3,MistrustB_6,v->u,1
417,Worry_3,MistrustB_6,undirected,0
418,Worry_3,MistrustB_6,none,212
419,Worry_3,MistrustB_6,unknown,7
420,Worry_3,MistrustB_7,u->v,7
421,Worry_3,MistrustB_7,v->u,2
422,Worry_3,MistrustB_7,undirected,0
423,Worry_3,MistrustB_7,none,207
424,Worry_3,MistrustB_7,unknown,7
425,Worry_3,MistrustB_8,u->v,2
426,Worry_3,MistrustB_8,v->u,1
427,Worry_3,MistrustB_8,undirected,0
428,Worry_3,MistrustB_8,none,213
429,Worry_3,MistrustB_8,unknown,7
430,Worry_3,MistrustB_9,u->v,4
431,Worry_3,MistrustB_9,v->u,0
432,Worry_3,MistrustB_9,undirected,0
433,Worry_3,MistrustB_9,none,212
434,Worry_3,MistrustB_9,unknown,7
435,Worry_3,MistrustB_10,u->v,3
436,Worry_3,MistrustB_10,v->u,1
437,Worry_3,MistrustB_10,undirected,0
438,Worry_3,MistrustB_10,none,212
439,Worry_3,MistrustB_10,unknown,7
440,Worry_3,Sleep_1,u->v,1
441,Worry_3,Sleep_1,v->u,2
442,Worry_3,Sleep_1,undirected,0
443,Worry_3,Sleep_1,none,213
444,Worry_3,Sleep_1,unknown,7
445,Worry_3,Sleep_2,u->v,1
446,Worry_3,Sleep_2,v->u,1
447,Worry_3,Sleep_2,undirected,0
448,Worry_3,Sleep_2,none,214
449,Worry_3,Sleep_2,unknown,7
450,Worry_3,Sleep_3,u->v,4
451,Worry_3,Sleep_3,v->u,2
452,Worry_3,Sleep_3,undirected,0
453,Worry_3,Sleep_3,none,210
454,Worry_3,Sleep_3,unknown,7
455,Worry_3,Sleep_4,u->v,4
456,Worry_3,Sleep_4,v->u,5
457,Worry_3,Sleep_4,undirected,0
458,Worry_3,Sleep_4,none,207
459,Worry_3,Sleep_4,unknown,7
460,Worry_3,Sleep_5,u->v,1
461,Worry_3,Sleep_5,v->u,2
462,Worry_3,Sleep_5,undirected,0
463,Worry_3,Sleep_5,none,213
464,Worry_3,Sleep_5,unknown,7
465,Worry_3,Sleep_6,u->v,3
466,Worry_3,Sleep_6,v->u,2
467,Worry_3,Sleep_6,undirected,0
468,Worry_3,Sleep_6,none,211
469,Worry_3,Sleep_6,unknown,7
470,Worry_3,Sleep_7,u->v,1
471,Worry_3,Sleep_7,v->u,1
472,Worry_3,Sleep_7,undirected,0
473,Worry_3,Sleep_7,none,214
474,Worry_3,Sleep_7,unknown,7
475,Worry_3,L1,u->v,7
476,Worry_3,L1,v->u,7
477,Worry_3,L1,undirected,0
478,Worry_3,L1,none,209
479,Worry_3,L1,unknown,0
480,Worry_3,L2,u->v,31
481,Worry_3,L2,v->u,34
482,Worry_3,L2,undirected,0
483,Worry_3,L2,none,158
484,Worry_3,L2,unknown,0
485,Worry_3,L3,u->v,61
486,Worry_3,L3,v->u,52
487,Worry_3,L3,undirected,0
488,Worry_3,L3,none,110
489,Worry_3,L3,unknown,0
490,Worry_3,L4,u->v,1
491,Worry_3,L4,v->u,20
492,Worry_3,L4,undirected,0
493,Worry_3,L4,none,202
494,Worry_3,L4,unknown,0
495,Worry_3,L5,u->v,16
496,Worry_3,L5,v->u,49
497,Worry_3,L5,undirected,0
498,Worry_3,L5,none,158
499,Worry_3,L5,unknown,0
500,Worry_3,L6,u->v,4
501,Worry_3,L6,v->u,4
502,Worry_3,L6,undirected,0
503,Worry_3,L6,none,215
504,Worry_3,L6,unknown,0
505,Worry_3,L7,u->v,50
506,Worry_3,L7,v->u,33
507,Worry_3,L7,undirected,0
508,Worry_3,L7,none,140
509,Worry_3,L7,unknown,0
510,Worry_3,L8,u->v,5
511,Worry_3,L8,v->u,10
512,Worry_3,L8,undirected,0
513,Worry_3,L8,none,208
514,Worry_3,L8,unknown,0
515,Worry_3,L9,u->v,0
516,Worry_3,L9,v->u,2
517,Worry_3,L9,undirected,0
518,Worry_3,L9,none,221
519,Worry_3,L9,unknown,0
520,Worry_3,L10,u->v,20
521,Worry_3,L10,v->u,22
522,Worry_3,L10,undirected,0
523,Worry_3,L10,none,181
524,Worry_3,L10,unknown,0
525,Worry_4,Worry_5,u->v,12
526,Worry_4,Worry_5,v->u,12
527,Worry_4,Worry_5,undirected,0
528,Worry_4,Worry_5,none,192
529,Worry_4,Worry_5,unknown,7
530,Worry_4,Worry_6,u->v,6
531,Worry_4,Worry_6,v->u,47
